country,col.ind,dut.joy,dis.tru
Albania,34.2,0,27.8
Algeria,9.8,43.2,26.6
Andorra,92.3,89.4,21
Argentina,36.2,66,15.9
Armenia,26.3,28.3,17
Australia,66.3,89.4,36.8
Austria,53.4,71.7,45.6
Azerbaijan,24.1,22.1,49.4
Bangladesh,4.2,17,61
Belarus,42.1,13.4,33.8
Belgium,56.2,62.1,35.3
Bosnia,36.2,46,33.7
Brazil,25.3,63.7,18
Bulgaria,46.6,10.9,18.9
Burkina,15.5,14.3,25.8
Canada,58.6,86.6,46.2
Chile,24.5,60.8,26.1
China,29.6,29.2,78.9
Colombia,16.6,86.3,16.1
Croatia,43.7,52.9,17.9
Cyprus,31.7,70.9,44.5
Czech Republic,63,41.2,27
Denmark,94.3,87.8,64.2
Dominican Republic,26.2,67.1,7.8
Ecuador,14.1,84.5,15
Egypt,2.8,13.1,52.4
El Salvador,,,15.7
Estonia,48.2,27.9,32.2
Ethiopia,21.6,41.3,26.9
Finland,73.3,80.3,53.6
France,68.1,54.4,34.6
Georgia,23.2,32.2,21.6
Germany,62.5,57.6,39.1
Ghana,7.6,70.8,41.1
Great Britain,56.6,77.5,40.1
United Kingdom,56.6,77.5,40.1
Wales,56.6,77.5,40.1
England,56.6,77.5,40.1
Scotland,56.6,77.5,40.1
Greece,48.4,61.6,28.5
Guatemala,12.3,70,
Hong Kong,37.7,,
Hungary,44.2,32.8,40.5
Iceland,67.2,78.9,56.8
India,22.3,24.2,48.3
Indonesia,4.8,50.2,40.6
Iran,11.5,43.2,39.1
Iraq,2.7,21.4,27.1
Ireland,29.8,72,45.8
Italy,48.5,47,27.8
Japan,47.6,42.1,41.9
Jordan,0,48.2,49.8
Kazakhstan,22.5,45.4,45.8
Kosovo,11.9,42.6,55.7
Kyrgyzstan,15.3,49.3,29.2
Latvia,48,19.8,20.9
Lebanon,30.3,50.5,22.4
Libya,3.4,62.3,21
Lithuania,38.3,30.3,18.4
Luxemburg,71,62.8,54.4
Macedonia,35.6,43.9,20
Malaysia,15.5,64.9,57.6
Mali,21,34.6,42.8
Malta,11.4,63.1,40.3
Mexico,28.7,77.4,22.9
Moldova,27.2,18.4,21.3
Montenegro,33.6,47.5,29.4
Morocco,5.3,21.5,33.8
Netherlands,79.8,70.8,45.5
New Zealand,65.9,90.4,33.2
Nigeria,8.8,69,32.6
Northern Cyprus,32.7,41.5,44.9
Northern Ireland,34.2,72.7,41
Norway,79.4,79.8,63.8
Pakistan,9.5,8,26.6
Palestine,,33.8,25.6
Peru,19.1,56.1,0
Philippines,22.5,45.3,45.8
Poland,29.7,38.4,27.3
Portugal,40.8,35.7,31.2
Puerto Rico,18.3,100,29.4
Qatar,1.4,79.4,
Romania,34.7,33.8,17.3
Russia,39.2,13,23.6
Rwanda,15.9,50.3,49.6
Saudi Arabia,12.5,51.5,
Serbia,40.5,33.5,17.1
Serbia and Montenegro,55.1,31.8,10.2
Singapore,30.1,59.2,66.3
Slovakia,47,31.4,28.8
Slovenia,63.2,56.6,24
South Africa,23.3,52.7,45.5
South Korea,35,36.7,39.5
Spain,50.1,55.9,36.8
Sweden,100,86.7,54.8
Switzerland,67.2,75.7,50.3
Taiwan,36.1,49.9,23
Tanzania,9.1,24.8,55.8
Thailand,20.8,50.5,48.3
Trinidad and Tobago,14.8,79.6,16.9
Tunisia,4,28.6,14.2
Turkey,19,44.1,41.3
Uganda,15.2,58.3,39.7
Ukraine,36.3,11.7,16.2
United States,52.6,84.7,42
Uruguay,48,80.2,34.3
Uzbekistan,17.9,61.4,85.7
Venezuela,12.4,90.4,12.2
Vietnam,17.9,45.3,100
Yemen,7.8,13.2,6.7
Zambia,25.2,46.8,31.3
Zimbabwe,11.4,39.7,37.3
