term,gdppc_thous,age,gender,o,c,e,a,n,pdi,idv,mas,unc,lto,ind,col.ind,dut.joy,dis.tru,erstot
1,gdppc_thous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,age,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,gender,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,o,0.03,0.04,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,c,0.07,0.17,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,e,0.01,0.01,0.04,0.22,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,a,0.08,0.09,0.1,0.11,0.24,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,n,-0.03,-0.06,0.2,-0.09,-0.37,-0.41,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,pdi,-0.68,-0.03,-0.04,0.02,0,-0.02,-0.06,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,idv,0.77,0.03,0.06,0,0.04,0.02,0.08,0,-0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,mas,0.26,-0.02,0.02,-0.04,0.02,0.01,0.03,0.02,-0.25,0.45,NA,NA,NA,NA,NA,NA,NA,NA
12,unc,-0.36,0.04,-0.01,0.11,0,0,-0.05,-0.02,0.32,-0.33,-0.22,NA,NA,NA,NA,NA,NA,NA
13,lto,-0.52,-0.03,-0.05,-0.06,-0.09,-0.01,-0.08,0.05,0.28,-0.47,-0.22,0.03,NA,NA,NA,NA,NA,NA
14,ind,0.6,0.01,0.04,-0.02,0.02,0.02,0.07,0,-0.66,0.69,0.31,-0.36,-0.53,NA,NA,NA,NA,NA
15,col.ind,0.51,0.04,0.04,0,-0.01,0.02,0.04,0.01,-0.75,0.7,-0.05,-0.13,-0.11,0.56,NA,NA,NA,NA
16,dut.joy,0.76,0.02,0.06,-0.01,0.04,0.01,0.08,-0.01,-0.74,0.79,0.26,-0.37,-0.61,0.92,0.64,NA,NA,NA
17,dis.tru,0.25,-0.01,0,-0.05,0.01,-0.02,0.03,-0.01,0,0,-0.14,-0.65,0.07,0.04,-0.01,0.1,NA,NA
18,erstot,0.03,0.05,-0.02,0.33,0.26,0.28,0.22,-0.24,-0.02,0.03,0.02,0.03,-0.06,0.02,0,0.02,-0.02,NA
