country,n,Age (Mean),Age (SD),Gender (% female),Gender (% male),ERS (Mean),ERS (SD)
Argentina,617,24.7,5.03,45.22,54.78,33.72,12.99
Australia,7643,25.23,7.18,54.32,45.68,31.97,15.11
Austria,185,25.82,6.31,52.43,47.57,33.74,13.81
Bangladesh,163,24.69,4.54,18.4,81.6,40.04,18.52
Belgium,676,27.1,6.86,42.16,57.84,30.04,13.42
Brazil,413,26.78,7.17,45.52,54.48,34.69,14.2
Bulgaria,241,26.23,5.37,55.6,44.4,36.85,15.44
Canada,8105,25.21,7.49,50.62,49.38,33.69,15.02
Chile,280,24.74,5.48,40.36,59.64,36.14,14.98
China,318,24.06,5.26,48.74,51.26,32.21,16.38
Colombia,212,24.11,4.7,39.15,60.85,34.29,14.73
Croatia,374,26.18,5.71,56.95,43.05,33.46,14.49
Czech Republic,182,26.32,6.57,46.15,53.85,30.38,13.39
Denmark,408,28.35,8.34,50.74,49.26,32.94,13.88
Egypt,270,25.26,6.56,44.44,55.56,37.65,15.09
England,494,25.53,6.58,50.4,49.6,32.48,15.82
Estonia,118,25.2,4.96,67.8,32.2,31.13,14.18
Ethiopia,8,27,5.1,50,50,45.75,15.64
Finland,762,26.78,6.54,54.07,45.93,29.56,13.08
France,934,26.17,5.92,47.97,52.03,33.74,14.77
Germany,839,26.31,6.71,56.38,43.62,32.92,14.45
Ghana,29,26.9,8.25,44.83,55.17,42.24,13.67
Greece,548,26.76,6.89,50.55,49.45,33.43,14.66
Hungary,210,27.87,6.13,47.14,52.86,32.98,13
India,1710,24.67,5.5,30.06,69.94,36.08,16.16
Indonesia,1388,24.65,4.99,44.88,55.12,28.06,14.92
Iran,123,26.54,5.88,34.15,65.85,33.96,15.78
Iraq,31,25.84,5.4,19.35,80.65,35.32,16.68
Ireland,1465,24.7,6,51.95,48.05,33.41,15.08
Italy,1107,27.72,6.3,41.19,58.81,31.9,14.22
Japan,287,26.12,6.26,50.17,49.83,34.18,15.23
Latvia,39,23.74,3.27,64.1,35.9,31.41,14.56
Lebanon,67,25.57,8.14,46.27,53.73,37.76,16.37
Libya,10,24.7,4.52,40,60,31.1,20.5
Lithuania,173,24.5,3.64,54.91,45.09,32,14.43
Malaysia,1142,24.33,5.2,46.67,53.33,30.46,15.37
Malta,122,23.61,6.31,48.36,51.64,34.31,16.21
Mexico,1028,24.97,5.34,40.86,59.14,35.66,14.47
Morocco,34,24.82,6.44,58.82,41.18,36.65,16.67
Netherlands,585,27.92,7.75,49.91,50.09,32.38,14.54
New Zealand,1781,24.58,6.75,54.8,45.2,30.49,14.79
Nigeria,48,25,6.8,37.5,62.5,38.73,21.04
Norway,246,27.93,8.66,50,50,32.08,14.14
Pakistan,345,25.15,5.66,29.57,70.43,36.92,16.82
Peru,173,24.64,5.97,41.62,58.38,35.08,16.35
Philippines,2387,23.67,4.96,55.93,44.07,31.2,15.51
Poland,543,26.22,4.67,54.88,45.12,33.99,14.06
Portugal,503,27.77,6.82,42.15,57.85,32.92,14.22
Romania,743,25.56,4.89,58.41,41.59,33.72,15.09
Russia,204,24.29,5.07,51.96,48.04,33.71,14.09
Scotland,31,26.58,6.33,45.16,54.84,35.45,14.98
Serbia,385,26.61,6.32,54.81,45.19,34.91,14.43
Singapore,2056,23.55,5.96,41.78,58.22,27.7,14.8
Slovakia,99,24.68,3.49,54.55,45.45,32.77,14.55
Slovenia,130,25.69,7.17,57.69,42.31,33.12,14.49
South Korea,251,24.11,6.72,45.82,54.18,31.44,15.57
Spain,512,27.7,6.53,51.56,48.44,33.64,14.53
Sweden,708,28.61,7.57,47.6,52.4,33.09,14.21
Switzerland,199,27.66,7.54,48.24,51.76,33.22,15.53
Tanzania,8,24,5.73,37.5,62.5,34.12,12.86
Thailand,275,26.03,6.31,45.09,54.91,30.85,14.36
Trinidad and Tobago,146,24.67,5.45,49.32,50.68,39.49,17.41
Turkey,96,27.03,5.41,43.75,56.25,35.07,14.24
United Kingdom,20439,24.59,7.18,49.83,50.17,31.83,15.08
United States,107013,25.91,7.87,55.77,44.23,34.29,15.27
Uruguay,129,24.99,5.02,48.84,51.16,33.5,14.95
Vietnam,237,22.27,3.71,55.7,44.3,30.1,14.54
Wales,32,25.09,7.34,53.12,46.88,33.53,18.31
Zambia,16,32.12,15.54,56.25,43.75,46.62,14.12
