mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
age,25.61,7.5,23,24.28,4.45,18,90,72,2.11,6.32,0.02
gender,1.53,0.5,2,1.54,0,1,2,1,-0.13,-1.98,0
o,79.01,10.83,80,79.59,11.86,20,100,80,-0.54,0.19,0.03
c,68.58,13.55,69,68.85,13.34,20,100,80,-0.2,-0.34,0.03
e,68.83,15.8,70,69.47,16.31,20,100,80,-0.34,-0.5,0.04
a,71.44,11.98,72,72.01,11.86,20,100,80,-0.48,0.15,0.03
n,54.66,15.96,54,54.25,17.79,20,100,80,0.22,-0.5,0.04
pdi,43.06,13.22,40,39.9,0,11,104,93,2.63,6.91,0.03
idv,82.54,19.09,91,88.18,0,13,91,78,-2.43,4.59,0.05
mas,60.1,8.57,62,61.64,0,5,110,105,-3.1,15.8,0.02
unc,47.19,12.59,46,45.5,0,8,112,104,1.96,7.42,0.03
lto,33.08,13.6,26,30.59,0,9,100,91,1.82,3,0.03
ind,64.88,11.09,68,67.66,0,0,97,97,-2.61,7.81,0.03
col.ind,51.73,11.37,52.6,53.26,0,2.7,100,97.3,-1.4,6.08,0.03
dut.joy,79.18,13.8,84.7,82.67,0,8,90.4,82.4,-2.75,7.46,0.03
dis.tru,41.48,6.69,42,41.66,0,0,100,100,0.65,15.72,0.02
erstot,33.55,15.23,32,32.79,14.83,0,100,100,0.5,0.14,0.04
